prompt_strategy,sentences_per_prompt,overlap,total_triples,unique_s,unique_p,unique_o,bad_triples
PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,35.19,12.5,22.2,29.01,0.07
PromptStrategy.PREVIOUS_SENTENCES,2.0,0.0,33.43,9.15,20.03,27.48,0.06
PromptStrategy.PREVIOUS_SENTENCES,2.0,1.0,55.24,11.69,27.59,34.67,0.02
PromptStrategy.PREVIOUS_SENTENCES,3.0,0.0,28.98,7.12,17.29,24.67,0.01
PromptStrategy.PREVIOUS_SENTENCES,3.0,1.0,45.29,8.25,22.19,29.76,0.04
PromptStrategy.PREVIOUS_SENTENCES,3.0,2.0,61.52,10.13,28.68,34.88,0.04
PromptStrategy.PREVIOUS_SENTENCES,4.0,0.0,27.93,5.91,16.36,23.58,0.01
PromptStrategy.PREVIOUS_SENTENCES,4.0,1.0,44.54,7.33,21.31,28.67,0.1
PromptStrategy.PREVIOUS_SENTENCES,4.0,2.0,52.48,8.51,25.09,31.78,0.02
PromptStrategy.PREVIOUS_SENTENCES,4.0,3.0,62.3,8.73,27.68,34.47,0.06
PromptStrategy.PREVIOUS_SENTENCES,5.0,0.0,25.31,5.34,15.02,22.06,0.0
PromptStrategy.PREVIOUS_SENTENCES,5.0,1.0,44.57,7.62,20.83,28.8,0.04
PromptStrategy.PREVIOUS_SENTENCES,5.0,2.0,46.17,7.46,21.73,29.16,0.0
PromptStrategy.PREVIOUS_SENTENCES,5.0,3.0,50.5,7.25,22.68,30.13,0.04
PromptStrategy.PREVIOUS_SENTENCES,5.0,4.0,56.65,7.6,25.42,33.24,0.46
PromptStrategy.PREVIOUS_SENTENCES,6.0,0.0,24.27,5.45,14.61,21.22,0.01
PromptStrategy.PREVIOUS_SENTENCES,6.0,1.0,42.23,6.26,19.87,26.2,0.07
PromptStrategy.PREVIOUS_SENTENCES,6.0,2.0,45.66,6.96,21.1,27.86,0.05
PromptStrategy.PREVIOUS_SENTENCES,6.0,3.0,47.05,6.39,21.65,29.28,0.0
PromptStrategy.PREVIOUS_SENTENCES,6.0,4.0,50.52,7.22,22.67,30.03,0.07
PromptStrategy.PREVIOUS_SENTENCES,6.0,5.0,50.22,7.13,23.55,30.92,0.01
PromptStrategy.PREVIOUS_SENTENCES,7.0,0.0,23.29,4.33,13.35,20.29,0.01
PromptStrategy.PREVIOUS_SENTENCES,7.0,1.0,41.43,5.98,19.21,26.87,0.0
PromptStrategy.PREVIOUS_SENTENCES,7.0,2.0,41.28,5.71,19.47,26.33,0.05
PromptStrategy.PREVIOUS_SENTENCES,7.0,3.0,44.13,5.62,20.14,28.5,0.03
PromptStrategy.PREVIOUS_SENTENCES,7.0,4.0,43.71,5.49,19.36,27.56,0.0
PromptStrategy.PREVIOUS_SENTENCES,7.0,5.0,45.24,5.6,20.24,28.35,0.07
PromptStrategy.PREVIOUS_SENTENCES,7.0,6.0,43.3,6.38,20.71,27.1,0.02
PromptStrategy.PREVIOUS_SENTENCES,8.0,0.0,21.91,4.2,12.6,19.36,0.0
PromptStrategy.PREVIOUS_SENTENCES,8.0,1.0,40.03,5.21,17.96,25.71,0.04
PromptStrategy.PREVIOUS_SENTENCES,8.0,2.0,44.17,5.96,19.46,27.21,0.08
PromptStrategy.PREVIOUS_SENTENCES,8.0,3.0,41.77,5.7,18.74,26.46,0.03
PromptStrategy.PREVIOUS_SENTENCES,8.0,4.0,42.24,5.37,19.11,26.87,0.35
PromptStrategy.PREVIOUS_SENTENCES,8.0,5.0,42.59,5.49,19.6,26.96,0.16
PromptStrategy.PREVIOUS_SENTENCES,8.0,6.0,41.26,5.95,18.83,26.59,0.02
PromptStrategy.PREVIOUS_SENTENCES,8.0,7.0,41.53,4.96,18.87,26.37,0.01
PromptStrategy.PREVIOUS_SENTENCES,9.0,0.0,21.43,3.78,12.08,18.39,0.0
PromptStrategy.PREVIOUS_SENTENCES,9.0,1.0,40.1,5.23,17.65,25.12,0.06
PromptStrategy.PREVIOUS_SENTENCES,9.0,2.0,39.81,5.03,17.56,25.68,0.0
PromptStrategy.PREVIOUS_SENTENCES,9.0,3.0,41.88,5.31,18.19,26.64,0.09
PromptStrategy.PREVIOUS_SENTENCES,9.0,4.0,40.63,5.34,17.97,25.9,0.0
PromptStrategy.PREVIOUS_SENTENCES,9.0,5.0,40.74,5.14,19.1,25.81,0.06
PromptStrategy.PREVIOUS_SENTENCES,9.0,6.0,38.94,5.14,18.56,26.35,0.01
PromptStrategy.PREVIOUS_SENTENCES,9.0,7.0,39.68,5.12,18.34,25.83,0.0
PromptStrategy.PREVIOUS_SENTENCES,9.0,8.0,40.73,5.16,19.77,26.7,0.04
PromptStrategy.PREVIOUS_SENTENCES,10.0,0.0,19.05,3.22,10.99,17.08,0.07
PromptStrategy.PREVIOUS_SENTENCES,10.0,1.0,39.51,5.17,17.54,25.18,0.07
PromptStrategy.PREVIOUS_SENTENCES,10.0,2.0,39.57,4.76,17.78,25.97,0.05
PromptStrategy.PREVIOUS_SENTENCES,10.0,3.0,39.29,5.39,18.44,25.2,0.0
PromptStrategy.PREVIOUS_SENTENCES,10.0,4.0,38.2,4.82,17.69,24.96,0.08
PromptStrategy.PREVIOUS_SENTENCES,10.0,5.0,39.41,4.5,18.04,25.35,0.02
PromptStrategy.PREVIOUS_SENTENCES,10.0,6.0,38.33,5.03,18.1,25.2,0.04
PromptStrategy.PREVIOUS_SENTENCES,10.0,7.0,40.49,5.04,18.54,26.35,0.0
PromptStrategy.PREVIOUS_SENTENCES,10.0,8.0,41.3,4.82,18.73,26.1,0.02
PromptStrategy.PREVIOUS_SENTENCES,10.0,9.0,41.54,4.9,18.71,26.77,0.04
PromptStrategy.SECTION_CONTENTS,0.0,0.0,19.48,3.07,10.92,17.27,0.01
